Condition,BL#,Repeat,BATCH,Fly 1,Fly 1,Fly 2,Fly 2,Fly 3,Fly 3,Fly 4,Fly 4,Fly 5,Fly 5,Fly 6,Fly 6,Fly 7,Fly 7,Fly 8,Fly 8,Fly 9,Fly 9,Fly 10,Fly 10,FbID
CG8068,BL# 58067,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0003612
CG8075,BL# 34354,1,2,21,23,20,20,19,22,16,21,23,23,20,24,23,23,20,22,20,21,20,25,FBgn0015838
CG8544,BL# 55404,1,2,18,21,23,23,21,22,21,20,20,21,19,20,20,20,19,21,22,21,23,20,FBgn0003345
CG9374,BL# 34362,1,2,21,22,25,22,21,21,21,21,25,25,21,25,26,23,21,20,22,23,26,24,FBgn0038167
CG9401,BL# 55260,1,2,23,19,19,20,18,20,21,21,23,22,21,19,23,20,19,22,20,20,24,18,FBgn0002736
OR,,1,2,20,17,20,18,17,18,20,18,18,19,16,17,17,17,18,21,19,20,21,18,Control
Tj>HpoRNAi,,1,2,19,20,21,18,18,18,20,20,22,19,20,19,17,18,21,20,18,18,20,22,Control
Tj>HpoRNAi,,2,2,20,20,21,19,20,21,21,21,19,20,18,21,22,20,18,19,23,19,20,17,Control
"Tj>HpoRNAi,Bab1RNAi",v50826,1,2,22,18,20,20,19,17,17,17,22,19,20,21,19,22,17,21,20,18,18,19,Control
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,2,22,27,28,22,24,20,25,25,23,23,25,20,23,26,23,25,24,23,23,25,Control
"Tj>HpoRNAi,Hpo",,1,2,19,17,20,19,19,16,18,19,16,19,22,22,21,16,16,15,17,14,18,17,Control
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,2,21,19,25,25,28,26,24,28,23,20,20,21,21,22,21,25,21,19,21,20,Control
"Tj>HpoRNAi,Yki",,1,2,4,3,6,14,10,14,18,19,18,16,22,19,20,18,12,17,18,20,19,15,Control
"Tj>HpoRNAi,YkiRNAi",,1,2,17,16,19,23,18,16,21,16,17,17,16,19,23,16,17,18,14,18,16,21,Control
CG1004,BL# 41699,1,3,19,18,19,20,17,20,16,18,16,18,20,20,17,17,17,17,18,19,17,18,FBgn0004635
CG10924,BL# 36915,1,3,23,21,20,19,21,22,21,21,25,21,23,23,21,24,22,21,20,20,24,21,FBgn0034356
CG1107,BL# 35310,1,3,22,19,21,17,22,19,18,23,20,20,20,19,22,20,20,22,22,20,24,19,FBgn0037218
CG11941,BL# 33925,1,3,19,21,21,20,22,24,22,20,23,21,21,19,19,20,23,23,25,23,22,21,FBgn0026175
CG1200,BL# 26024,1,3,22,21,21,20,21,20,20,19,19,21,19,20,20,21,22,20,17,20,22,18,FBgn0040281
CG12021,BL# 35747,1,3,24,21,24,19,19,21,20,23,22,20,19,21,20,20,19,21,19,21,23,21,FBgn0067864
CG1210,BL# 27725,1,3,17,18,17,17,18,17,16,16,18,18,19,16,17,16,18,17,16,18,17,17,FBgn0020386
CG12559,BL# 34855,1,3,19,23,19,15,22,20,14,20,19,21,21,18,19,17,15,17,19,19,18,20,FBgn0003256
CG12919,BL# 55276,1,3,21,19,21,19,21,20,19,18,19,21,22,17,18,20,19,22,20,18,17,21,FBgn0033483
CG1374,BL# 35030,1,3,23,21,19,14,19,21,21,21,23,21,23,22,26,22,22,23,23,21,24,23,FBgn0003866
CG1594,BL# 35386,1,3,21,22,19,18,18,19,18,15,18,21,20,17,18,20,18,19,19,18,19,19,FBgn0004864
CG16738,BL# 34633,1,3,20,21,22,21,21,24,22,25,22,18,22,21,21,18,24,22,23,19,20,18,FBgn0003430
CG16983,BL# 32870,1,3,19,19,20,20,17,19,19,17,18,18,17,20,21,18,21,19,17,17,23,21,FBgn0025637
CG1708,BL# 44472,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0000352
CG17117,BL# 34637,1,3,13,10,6,10,12,10,14,16,12,9,14,18,12,15,18,12,10,13,11,11,FBgn0001235
CG17610,BL# 55926,1,3,19,18,19,18,17,19,20,20,17,20,17,19,18,20,21,18,19,21,19,19,FBgn0001137
CG1799,BL# 51717,1,3,15,15,15,18,16,17,16,13,15,15,19,13,16,14,17,14,16,15,17,15,FBgn0003204
CG18361,BL# 31307,1,3,21,23,20,21,21,19,15,18,19,21,18,22,20,19,19,20,18,17,18,14,FBgn0000499
CG1877,BL# 36601,1,3,19,23,22,19,20,22,19,18,20,18,21,19,22,17,21,23,19,18,22,20,FBgn0015509
CG2048,BL# 35134,1,3,21,22,23,19,21,19,24,22,22,21,22,18,19,23,21,23,22,19,25,22,FBgn0002413
CG2204,BL# 34653,1,3,21,19,18,19,19,20,19,23,20,19,21,20,19,18,20,19,21,19,22,20,FBgn0001122
CG2248,BL# 34910,1,3,21,18,20,19,21,22,23,20,17,16,20,20,17,18,19,20,19,21,17,25,FBgn0010333
CG2275,BL# 31595,1,3,19,18,18,19,21,23,22,21,19,22,23,21,23,21,24,20,22,19,20,20,FBgn0001291
CG3004,BL# 34361,1,3,22,19,19,22,19,8,20,18,20,18,23,20,19,22,23,21,19,20,21,20,FBgn0264691
CG3051,BL# 32371,1,3,19,19,20,20,22,22,21,21,21,18,21,24,20,21,22,21,25,21,25,22,FBgn0023169
CG31421,BL# 55903,1,3,20,23,22,20,19,20,18,20,18,18,21,18,21,19,19,19,23,20,20,20,FBgn0046689
CG3143,BL# 32427,1,3,21,23,22,20,20,20,24,22,22,24,21,21,20,19,20,21,16,24,20,22,FBgn0038197
CG33542,BL# 32859,1,3,22,22,23,24,24,23,20,22,22,24,22,21,18,20,24,23,25,22,19,20,FBgn0053542
CG3396,BL# 54851,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0040296
CG34403,BL# 26743,1,3,22,23,23,23,23,21,20,21,22,21,23,20,20,22,21,22,23,21,22,22,FBgn0085432
CG3779,BL# 35045,1,3,19,21,20,19,21,19,20,20,20,21,20,21,20,21,19,20,21,20,21,20,FBgn0002973
CG3848,BL# 36916,1,3,15,8,7,12,15,11,12,13,10,11,16,15,13,11,11,9,12,10,15,10,FBgn0023518
CG3992,BL# 34080,1,3,21,23,24,21,22,21,26,21,22,21,20,21,21,20,22,21,20,23,24,22,FBgn0003507
CG4006,BL# 33615,1,3,0,0,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,FBgn0010379
CG4027,BL# 42651,1,3,16,17,11,7,14,18,17,15,16,16,14,15,17,18,16,15,12,16,13,18,FBgn0000042
CG40293,BL# 34620,1,3,19,24,25,19,22,19,22,23,28,21,20,23,23,20,20,25,22,22,23,22,FBgn0046692
CG4114,BL# 34968,2,3,22,21,20,21,18,20,19,21,20,19,21,20,18,19,20,17,21,22,21,22,FBgn0004583
CG4220,BL# 41960,1,3,24,23,22,22,26,21,23,21,27,23,23,22,25,21,24,21,26,25,27,23,FBgn0004858
CG42281,BL# 28322,2,3,17,17,17,18,18,19,17,15,17,16,18,20,16,18,17,19,15,16,16,17,FBgn0259176
CG4320,BL# 34814,1,3,0,0,0,0,0,0,9,6,8,9,8,8,8,5,7,6,7,8,7,6,FBgn0029840
CG43770,BL# 34393,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0264270
CG4379,BL# 35169,1,3,20,21,21,19,20,20,23,19,20,19,21,20,24,24,23,22,22,18,19,21,FBgn0000273
CG4427,BL# 38276,1,3,20,21,20,23,19,20,23,20,23,20,24,20,21,22,22,19,20,20,20,19,FBgn0043364
CG4656,BL# 42534,1,3,21,21,18,20,18,20,20,18,18,20,18,21,19,17,19,17,24,19,19,19,FBgn0039055
CG4698,BL# 29442,1,3,22,21,18,18,22,23,24,23,20,20,21,22,22,24,20,20,18,22,20,19,FBgn0010453
CG4720,BL# 35331,1,3,22,23,21,21,18,21,18,21,21,21,20,21,19,20,22,19,17,17,18,22,FBgn0014006
CG5055,BL# 35002,1,3,22,20,21,18,20,23,22,20,22,24,22,21,21,24,20,19,20,22,22,24,FBgn0000163
CG5083,BL# 36697,2,3,21,21,23,21,22,24,23,21,18,21,21,21,22,19,22,19,22,21,22,21,FBgn0038390
CG5216,BL# 53697,1,3,20,17,18,18,18,17,17,16,19,20,19,21,15,18,20,20,20,19,19,19,FBgn0024291
CG5575,BL# 34739,1,3,21,19,21,19,19,22,20,17,18,19,22,18,19,20,18,19,17,21,20,21,FBgn0011236
CG5686,BL# 36665,1,3,17,15,17,15,16,15,15,15,16,16,17,16,18,14,19,17,20,17,18,19,FBgn0024248
CG5884,BL# 39010,1,3,18,19,17,19,23,18,22,20,20,18,18,18,21,18,16,18,20,20,18,20,FBgn0026192
CG5974,BL# 41935,1,3,19,26,18,23,19,22,22,19,21,18,21,19,16,20,21,20,21,22,16,20,FBgn0010441
CG6099,BL# 29378,1,3,22,21,20,22,20,22,20,22,21,20,22,20,18,20,19,20,21,20,21,21,FBgn0002629
CG6147,BL# 52931,1,3,20,21,19,24,17,23,18,16,15,15,21,21,24,20,24,21,19,16,13,24,FBgn0026317
CG6193,BL# 28585,1,3,16,18,15,20,18,20,21,21,20,19,19,20,18,20,20,20,21,21,20,19,FBgn0026598
CG6535,BL# 44073,1,3,12,13,13,20,15,15,16,16,15,17,17,17,14,17,16,17,15,18,17,17,FBgn0045035
CG6667,BL# 34938,1,3,19,23,20,19,19,19,19,22,20,24,19,21,18,18,21,20,19,23,21,19,FBgn0260632
CG6794,BL# 30513,1,3,20,18,22,20,21,23,19,18,22,23,23,23,22,20,20,23,20,23,21,21,FBgn0011274
CG6964,BL# 32961,1,3,14,15,13,12,10,12,16,15,15,16,11,12,14,13,16,15,11,12,17,14,FBgn0010825
CG7097,BL# 53884,1,3,22,20,18,20,20,17,23,20,19,19,18,18,20,21,18,19,22,21,21,20,FBgn0263395
CG7109,BL# 27723,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0004177
CG7413,BL# 36744,1,3,25,27,24,27,31,31,31,29,31,29,30,26,22,32,29,27,30,26,30,27,FBgn0015799
CG7524,BL# 51772,1,3,20,21,20,19,18,19,19,21,20,20,20,20,19,19,18,21,22,21,20,19,FBgn0262733
CG7734,BL# 34689,2,3,27,20,21,21,23,22,25,22,21,20,26,20,21,20,24,24,26,24,21,27,FBgn0003396
CG7895,BL# 50663,1,3,18,20,21,22,23,20,20,25,20,21,20,19,20,23,21,20,20,22,23,23,FBgn0004110
CG7935,BL# 34998,1,3,20,21,23,15,18,21,23,24,20,18,22,23,21,20,21,26,20,19,24,18,FBgn0026252
CG7951,BL# 26207,1,3,22,20,16,18,21,25,21,18,19,23,21,18,19,19,24,22,20,19,21,22,FBgn0266411
CG7996,BL# 41723,1,3,21,22,23,20,21,22,21,23,20,22,22,19,22,22,20,22,19,22,25,21,FBgn0003450
CG8118,BL# 28046,1,3,7,4,2,14,19,19,18,16,16,15,11,13,14,17,16,17,18,17,14,17,FBgn0002643
CG8167,BL# 32475,1,3,25,20,21,22,27,22,26,22,21,22,24,22,23,22,25,22,24,26,22,24,FBgn0036046
CG8222,BL# 37520,1,3,16,19,19,16,19,19,18,18,18,20,18,20,18,19,19,23,20,19,18,21,FBgn0032006
CG8264,BL# 34777,1,3,13,15,12,21,12,18,13,11,15,12,12,14,17,14,10,17,14,14,13,10,FBgn0004856
CG8328,BL# 26203,1,3,19,19,23,20,21,18,22,22,23,25,24,23,22,19,24,26,22,21,21,22,FBgn0002734
CG8384,BL# 35759,1,3,13,12,22,22,5,10,12,10,19,21,20,20,10,12,11,9,22,21,8,11,FBgn0001139
CG8416,BL# 32383,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0014020
CG8433,BL# 52883,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0029175
CG8704,BL# 51440,1,3,21,22,22,24,21,19,20,25,19,20,21,21,21,22,22,23,21,20,23,23,FBgn0010109
CG8781,BL# 55367,1,3,19,18,18,19,19,17,18,18,18,19,19,21,19,17,20,19,18,19,18,17,FBgn0033378
CG8866,BL# 35187,1,3,21,21,22,23,21,24,25,25,22,24,26,20,19,21,22,28,19,22,21,22,FBgn0037679
CG8905,BL# 36871,1,3,24,24,22,19,18,23,21,23,19,22,19,21,22,21,21,19,22,19,18,22,FBgn0010213
CG9375,BL# 35414,1,3,23,19,22,24,19,26,20,22,24,21,20,24,20,18,24,22,22,22,20,24,FBgn0003205
CG9772,BL# 34807,1,3,20,20,17,20,22,21,21,23,23,21,22,17,21,18,23,20,24,22,23,19,FBgn0037236
OR,,1,3,20,20,19,19,20,19,20,20,21,19,20,19,18,18,21,19,19,17,21,19,Control
Tj>HpoRNAi,,1,3,19,18,21,20,20,21,19,19,19,18,18,22,21,21,20,21,21,19,21,19,Control
Tj>HpoRNAi,,2,3,21,21,19,19,19,21,19,17,22,21,23,20,23,20,20,19,22,19,18,20,Control
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,3,24,21,17,20,18,24,21,22,21,24,21,24,20,22,24,18,19,20,21,26,Control
"Tj>HpoRNAi,Hpo",,1,3,15,15,15,16,17,18,16,18,15,17,16,19,16,16,18,16,17,15,16,16,Control
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,3,23,24,18,19,21,19,20,24,20,18,18,23,23,24,21,25,22,21,21,21,Control
"Tj>HpoRNAi,Yki",,1,3,16,13,15,19,18,14,10,19,12,16,9,5,12,17,14,16,17,13,15,10,Control
"Tj>HpoRNAi,YkiRNAi",,1,3,16,18,18,19,19,17,19,17,17,16,15,19,18,17,16,17,18,14,17,16,Control
CG10117,BL# 51480,1,4,18,20,21,20,19,19,20,20,21,17,18,17,17,19,21,17,20,19,19,18,FBgn0265974
CG10124,BL# 50951,1,4,20,18,22,17,20,18,18,19,20,18,18,19,20,18,18,20,17,18,20,20,FBgn0035709
CG10798,BL# 43962,1,4,17,20,19,21,16,21,18,20,19,16,17,19,18,20,18,19,18,17,19,18,FBgn0262656
CG10967,BL# 44034,1,4,17,18,20,21,17,19,20,20,18,19,17,19,17,18,19,17,17,17,17,21,FBgn0260945
CG11062,BL# 42493,2,4,20,18,21,19,22,19,20,20,23,21,17,19,20,19,21,18,18,18,19,18,FBgn0024913
CG11064,BL# 33388,1,4,21,21,18,19,20,18,18,19,20,21,21,19,19,19,21,20,25,22,20,19,FBgn0087002
CG11084,BL# 32413,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0003090
CG11217,BL# 38971,1,4,19,22,23,18,22,21,19,21,22,20,22,19,22,22,22,22,21,23,19,21,FBgn0015614
CG1133,BL# 34706,2,4,22,17,19,21,20,21,17,20,18,17,21,20,18,20,22,22,18,19,21,19,FBgn0003002
CG11518,BL# 38208,1,4,18,18,18,18,21,20,21,22,22,18,19,19,20,18,19,19,19,17,18,20,FBgn0043900
CG11579,BL# 35004,1,4,13,14,18,14,12,16,13,14,17,14,0,0,17,21,0,0,14,12,17,13,FBgn0000117
CG11658,BL# 43298,1,4,19,20,18,20,18,18,18,18,19,17,18,19,16,18,17,20,19,20,19,18,FBgn0036196
CG11992,BL# 33661,1,4,20,20,24,20,20,19,22,20,18,19,21,23,19,19,22,22,25,20,20,26,FBgn0014018
CG12066,BL# 55859,1,4,20,19,18,19,18,18,19,19,19,19,21,18,20,17,19,18,20,18,19,19,FBgn0000274
CG12147,BL# 42612,1,4,19,19,20,20,20,23,18,19,21,18,21,20,21,21,22,18,20,21,18,22,FBgn0037325
CG12227,,2,4,19,21,21,19,19,20,22,22,20,22,23,21,23,18,22,22,23,21,21,22,FBgn0034863
CG12244,BL# 35154,1,4,19,21,21,22,22,21,14,21,18,20,20,21,27,23,23,19,21,22,24,21,FBgn0261524
CG12283,,1,4,19,19,18,19,19,19,22,20,21,21,18,20,21,21,19,21,20,21,21,19,FBgn0015399
CG12334,BL# 34900,1,4,19,21,19,19,18,19,18,22,16,20,20,21,18,18,22,23,22,23,16,17,FBgn0038539
CG13076,BL# 55379,1,4,20,20,20,18,22,21,20,17,18,17,20,20,19,17,20,21,22,22,18,19,FBgn0044028
CG13139,,1,4,18,21,20,21,19,21,22,18,21,20,17,19,21,19,20,21,19,18,19,20,FBgn0032230
CG13194,,1,4,19,19,21,21,19,20,18,19,21,19,21,21,20,16,19,18,18,21,19,20,FBgn0033649
CG1389,BL# 33627,1,4,21,21,20,18,21,22,20,21,19,19,19,21,19,19,20,21,20,21,19,18,FBgn0003733
CG14026,BL# 41904,1,4,19,20,21,21,21,19,21,19,20,21,19,18,18,19,18,22,19,26,19,19,FBgn0003716
CG14622,BL# 39058,1,4,22,21,23,25,20,19,19,22,21,21,22,22,24,24,22,19,21,20,21,23,FBgn0025641
CG1634,BL# 38215,1,4,19,18,19,23,21,20,18,20,19,20,18,21,21,18,20,19,21,20,19,19,FBgn0264975
CG16785,BL# 44468,1,4,21,21,18,17,18,18,16,18,19,17,22,18,15,17,17,18,19,20,16,19,FBgn0027343
CG16910,BL# 35572,1,4,23,23,23,22,20,22,20,22,21,18,21,19,20,23,22,18,24,23,20,19,FBgn0041205
CG16973,BL# 42518,1,4,8,7,8,7,9,7,11,8,8,8,7,9,9,7,7,11,8,11,12,8,FBgn0010909
CG17051,,1,4,22,18,21,20,20,21,16,20,20,21,22,19,18,19,19,22,20,20,21,19,FBgn0015379
CG17090,,1,4,19,19,23,21,20,20,21,20,19,19,23,21,21,22,19,19,21,20,19,19,FBgn0035142
CG17291,BL# 43283,2,4,22,22,20,20,22,18,20,18,22,21,18,23,18,20,21,20,18,20,22,21,FBgn0260439
CG17520,BL# 35136,1,4,14,12,10,8,12,8,16,14,13,12,14,12,11,14,10,8,17,13,12,9,FBgn0264492
CG17596,BL# 51694,1,4,22,19,20,22,22,19,23,18,22,24,24,21,22,21,21,21,19,22,21,22,FBgn0262866
CG18085,BL# 55866,1,4,20,19,19,14,18,18,19,24,22,18,21,17,20,17,21,19,18,16,21,19,FBgn0003366
CG18247,BL# 55874,1,4,20,21,26,20,20,19,23,21,20,21,22,20,19,19,20,21,22,20,23,21,FBgn0015295
CG30498,,1,4,18,18,18,20,20,20,20,19,21,19,17,17,19,18,20,20,21,19,18,18,FBgn0004132
CG31196,BL# 34884,1,4,23,17,19,19,20,17,19,21,21,20,17,16,16,18,19,19,19,19,21,16,FBgn0020238
CG32018,BL# 36716,1,4,19,22,19,22,20,20,21,22,18,20,18,22,19,22,20,21,20,20,20,18,FBgn0011642
CG32672,BL# 58309,1,4,21,19,18,22,18,22,21,20,20,19,20,18,21,21,18,20,20,16,22,20,FBgn0052672
CG33166,,1,4,22,21,23,21,21,24,21,21,20,20,21,23,23,20,22,21,21,21,20,20,FBgn0020248
CG33336,BL# 41638,1,4,18,18,18,20,20,20,21,18,18,18,22,21,18,20,22,20,18,19,18,20,FBgn0039044
CG3715,,1,4,22,20,22,21,21,20,20,20,20,22,20,19,20,20,19,19,21,21,18,22,FBgn0015296
CG4035,BL# 34096,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0015218
CG42318,BL# 35280,1,4,18,18,18,19,16,17,19,18,16,16,18,14,20,18,19,20,20,22,17,18,FBgn0260941
CG42576,BL# 53003,1,4,18,21,16,17,17,17,17,16,19,18,16,18,18,18,16,16,17,16,18,19,FBgn0261526
CG43140,BL# 35225,1,4,23,23,26,22,24,23,24,24,24,25,22,28,22,24,23,23,23,27,24,26,FBgn0262614
CG4971,,1,4,20,20,18,19,19,22,15,19,15,21,17,20,17,19,19,19,18,19,17,18,FBgn0031903
CG5092,BL# 33951,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FBgn0021796
CG5504,BL# 28594,1,4,13,14,14,12,10,9,11,12,17,16,18,17,18,20,17,16,12,16,13,12,FBgn0002174
CG5988,BL# 33949,1,4,12,16,0,0,11,17,15,13,10,13,19,23,12,14,11,10,18,12,11,14,FBgn0030904
CG6033,,1,4,19,19,20,19,21,20,15,21,17,20,19,21,21,20,20,22,16,18,20,20,FBgn0004638
CG6518,BL# 33768,1,4,19,19,18,19,18,21,23,20,17,19,20,19,19,17,20,21,19,20,21,19,FBgn0004784
CG6963,BL# 35138,1,4,22,23,22,23,22,27,24,21,20,21,22,24,26,21,22,19,23,21,24,22,FBgn0250823
